1,PROTOCOL,Original Protocol Number,NA,Char,NA,blank,"e.g. CA209010, MDX1106-01, ONO-4538-01",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
2,BSTUDY,BMS Protocol Number,NA,Char,NA,blank,"Same as PROTOCOL, except: CA209001=MDX1106-01, CA209003=MDX1106-03, CA209005=ONO-4538-01, CA209051=ONO-4538-02",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
3,BSTUDYN,BMS Study Identifier (N),NA,Num,NA,.,,Last 3 digits of BSTUDY,1,PPK-NIVO,0,0,0,0,0,1,1,1,
4,USUBJID,Unique Subject Identifier,NA,Char,NA,blank,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
5,NMID,NONMEM ID,NA,Num,NA,.,NONMEM ID will be generated from USUBJID,"Derived based on USUBJID (Exclude ""CA209"", and concatenate numeric values)",1,PPK-NIVO,0,0,0,0,0,1,1,1,
6,VISIT,Visit Label,NA,Char,NA,blank,Populate for all records,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
7,ATAFD,Actual Time After First Dose,hr,Num,0.01,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
8,NTAFD,Nominal Time After First Dose,hr,Num,0.1,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
9,NTAPD,Nominal Time After Previous Dose,hr,Num,0.1,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
10,ATAPD,Actual Time After Previous Dose,hr,Num,0.01,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
11,EVID,Event ID,NA,Num,NA,.,"0=PK Event, 1=Dose Event.",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
12,MDV,Missing DV,NA,Num,NA,.,"0=observed value, 1=missing DV or suspicious data or dosing event",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
13,AMT,Dose Amount of Nivolumab,mg,Num,NA,.,"Only populated on dosing records. Use ""."" for non-dosing record (i.e., observations)",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
14,RATE,Rate of Infusion,mg/hr,Num,0.01,.,,AMT/DUR,1,PPK-NIVO,0,0,0,0,0,1,1,1,
15,DUR,Infusion Duration,hr,Num,0.01,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
16,CONC,Serum Concentration of Nivolumab,ug/mL,Num,0.01,.,"Use ""."" if it's a missing values or below LLOQ ",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
17,CONCSTAT,Concentration Status,NA,Num,NA,0,"0=Evaluable Concentration, 1=BLOQ, 2=OUTLIER or Not Reportable, 3=Missing value, 4=Duplicate record for NCA setup. If concstatus in PAMS/eToolbox=missing then always code concstat=0. Otherwise concstat=concstatus. Only populated for pk records.",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
18,LOGC,log(CONC),NA,Num,4 significant digits,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
19,TX,Treatment Description,NA,Char,NA,blank,Eg. nivo 3 mg/kg Q2W,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
20,NDOSE,Nominal Dose of Nivolumab,mg/kg,Num,NA,.,"3=3 mg/kg, etc",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
21,DOSENUM,Dose Number,NA,Num,NA,.,"Sequential number: 1=first dose, 2=second dose, etc. For PK records retain from dose records",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
22,OCC,Occasion Identifier,NA,Num,NA,.,"1=the first PK-related dose, 2=second PK-related dose, 3=third PK-related dose. Dose refers to BMS-936558. After assigning OCC, change pre first PK-related records (pk and dose) from . to 0",Derived according to notes,1,PPK-NIVO,0,0,0,0,0,1,1,1,
23,AGE,Age,year,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
24,SEX,Sex,NA,Char,NA,blank,Male or Female,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
25,SEXN,Sex (N),NA,Num,NA,.,"1=Male, 2=Female",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
26,BBWT,Baseline Body Weight,kg,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
27,BALB,Baseline Serum Albumin,g/dL,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
28,BLDH,Baseline Lactate Dehydrogenase,U/L,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
29,LDHULN,LDH Upper Limit of Normal,U/L,Num,NA,.,LDH: Lactate Dehydrogenase.,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
30,BALP,Baseline Serum Alkaline Phosphatase,U/L,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
31,BHT,Baseline Height,cm,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
32,BBMI,Baseline Body Mass Index,kg/m2,Num,0.01,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
33,BBSA,Baseline Body Surface Area,m2,Num,0.01,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
34,BALT,Baseline Alanine Aminotransferase,U/L,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
35,BAST,Baseline Aspartate Aminotransferase,U/L,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
36,BCRCL,Baseline Creatinine Clearance,mL/min,Num,0.01,.,,Derived according to equation in Derivations table.,1,PPK-NIVO,0,0,0,0,0,1,1,1,
37,BSCR,Baseline Serum Creatinine,mg/dL,Num,NA,.,*0.011312 convert from umol/L to mg/dL,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
38,BGFR,Baseline GFR,mL/min/1.73m2,Num,0.01,.,GFR: Glomerular Filtration Rate.,Derived according to equation in Derivations table.,1,PPK-NIVO,0,0,0,0,0,1,1,1,
39,BALC,Baseline Abs Lymphocyte Count,x10^3c/uL,Num,NA,.,x10^9c/L is the same as x10^3c/Ul. Abs: Absolute.,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
40,BTBILI,Baseline Total Bilirubin,mg/dL,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
41,BDBILI,Baseline Direct Bilirubin,mg/dL,Num,NA,.,,,1,PPK-NIVO,0,0,0,0,0,1,1,1,
42,HEPA,Liver Dysfunction Groups,NA,Char,NA,blank,"GROUP A: Normal (total bilirubin<=ULN and AST<=ULN), GROUP B: Mild (total bilirubin > 1.0x-1.5xULN or AST > ULN), GROUP C: Moderate (total bilirubin > 1.5x-3xULN), GROUP D: Severe (total bilirubin > 3xULN). Assign in reverse order to assign most severe group.",,1,PPK-NIVO,0,0,0,0,0,1,1,1,
